Country,Year,GDP,Consumption,Public_Consumption,Public_Investment,Private_Investment,Debt,Taxes,Wages,Private_Capital,Public_Capital,DebttoGDP
Greece,2004,214144.24014328793,134440.79171106627,42065.885233636385,12498.016187906682,53632.30326252068,225907.4523318294,85174.68882490307,71286.53048268982,313187.8898573646,99658.67013012774,0.9305970586304665
Greece,2005,216679.71965735898,140309.15563466458,44375.34764712426,9801.9801980198,46276.00400489487,238042.05139615084,87272.2216041829,74628.2122594282,327957.90989383374,106317.78774048293,0.9875220456181389
Greece,2006,230639.72447936283,142465.156325674,47259.32303718452,13433.783565624495,55484.044556853034,242942.47430447183,91845.23489210568,77469.9456492493,339285.1577020315,110908.23852165692,0.9787125808858562
Greece,2007,238729.3191591266,149375.48806263861,49717.3141197172,11750.986537280176,60949.67878970877,249799.56894307755,97790.57297252271,80707.18324084004,352711.2234467165,117743.10638756414,1.004966632691157
Greece,2008,238866.77672719996,154512.6819750863,50216.61914052729,13517.434589023964,55609.88543699035,264920.7063885137,98470.15858722298,81747.36104857671,374294.0722449045,123290.60854868389,1.1084630672702918
Greece,2009,229027.4845570412,149223.3560090703,54307.4126202205,13252.599890530924,46809.660645867545,294258.7379779498,90241.61388693408,81641.64516381265,388206.5651526716,130033.60840266346,1.3145234537342962
Greece,2010,215985.64542459985,141506.9406207436,48629.74662145845,8046.676519739956,36328.860810849976,319326.5134610369,89977.87888447756,78282.28088986776,392433.0011469446,136008.30330708608,1.5305183793586936
Greece,2011,194653.31190448857,132775.13106034516,43056.67164121991,4868.365667929438,26989.821298741055,340790.37997933646,86767.68836337198,71639.30662380898,393940.4200617753,138348.632794771,1.8300998658311833
Greece,2012,178436.96607859325,121855.59885584842,40322.70449789791,4631.318269950663,21911.174675087826,292838.4941736577,86749.15052504271,65641.37758921887,383124.3416816203,135223.1523097779,1.7097634347000954
Greece,2013,174382.12257685527,118192.38300372037,36583.121206187585,6090.659878598002,20117.094184452708,314526.1405913452,87648.32582729586,61463.089876639904,374301.7055448556,134378.35817626596,1.842258800688773
Greece,2014,175764.21262790117,117721.38757174944,36603.94309957574,6559.520838532569,19744.94634389818,321069.12902420765,83889.19391065635,62995.757424507116,361861.8622168818,134357.145392613,1.8299003829687661
Greece,2015,175362.9,116723.3,36484.0,6812.0,19572.4,314987.0,85680.0,62288.1,349409.65777013794,134834.2579327475,1.7962009068052593
Greece,2016,175307.20530599938,116577.02743442869,36354.135262787655,6267.711787760023,19929.755803436838,320997.8896593307,88545.87478645361,63842.72937393226,338284.87604947836,135949.35417280754,1.8220871152582832
Greece,2017,177889.04154924635,119918.56628523863,36546.889573074724,8056.121067463621,21434.31648832148,323933.68968940864,87706.71828146781,64260.32713888861,327778.3248330659,136140.01369917364,1.8157610900982926
Greece,2018,181561.63612420714,123177.25349068649,35920.14394997939,5838.41815860634,20572.884729440386,343204.09332622966,89875.25005277497,66708.4510298656,318607.5756167043,138456.916407276,1.880441305157857
Greece,2019,185697.43888008664,126069.37285654117,37190.38928220453,4587.753955997674,20371.83369767955,340146.60756904195,90055.35388379695,68406.06887146266,310484.86602106935,138383.46178217605,1.8266326237220625
Greece,2020,168620.3564850693,117231.85619823066,38430.338469590075,5179.198663432603,20740.04367998873,353061.12179067824,83806.19772743285,65711.41013899093,293907.515356921,108932.6332845245,2.0804012475863902
Greece,2021,183213.32499528502,122785.70223241317,39502.49645136634,6599.962280257685,25267.95906415334,361455.386478465,90649.47440516959,69596.79580715284,320436.7037080458,119482.7973154299,1.9875246519835341
Greece,2022,193330.56268970348,134492.0849871585,38469.29722157366,7074.480504319402,30394.11627363997,343689.00303525565,97668.92365164604,69672.00560354891,339285.39702897286,127265.53735225095,1.903501416848664
Greece,2023,197458.62956876322,134040.988144724,38390.35407640457,7626.396224591129,31364.80679151763,324381.09131814144,95124.30902811344,69092.79455834923,347708.4159226642,131193.02755587045,1.869302956300832
Greece,2024,201580.38147138967,135875.34059945506,37488.07901907357,7333.106267029973,32332.510217983658,310767.2002724796,99730.92643051772,71840.25885558584,356169.551101314,135166.87868949963,1.8105184509326844
Hungary,1995,71708.61460957178,37843.2241813602,16345.994962216624,401.41057934508814,15564.130982367757,53989.118387909315,33329.37027707809,32181.360201511332,130440.2391939204,20158.55434111218,0.37362456583317877
Hungary,1996,71781.288301784,37173.012198206256,15470.516137818327,1349.0009921985952,16358.436606291703,47838.75800081709,33402.073889613035,31740.627614248744,134716.83062606564,19725.505892559442,0.34256281242292586
Hungary,1997,73918.11418776837,37213.69122298598,15677.934653920232,2142.920252336944,17147.249562651305,43301.93847078157,32491.56226255058,32572.8472725345,138179.51619115582,20013.35987799314,0.3315154920991609
Hungary,1998,76763.00782146577,38876.39259167711,16029.944031497731,2695.8456187432685,18508.095128798173,44209.64353184201,33238.93430321863,33703.984886738814,142014.0033839962,21009.99881668797,0.3261974837963283
