DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,1998,1202026.4,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,1999,1253597.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2000,1261584.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2001,1274759.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2002,1330083.1,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2003,1419426.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2004,1489670.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2005,1561020.5,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2006,1610903.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2007,1619064.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2008,1687442.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2009,1804696.0,,
