DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2003,6508.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2004,7088.8,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2005,8029.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2006,8900.3,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2007,10443.3,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2008,12491.7,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2009,13217.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2010,13892.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2011,14603.9,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2012,15448.3,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2013,16616.9,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2014,17512.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2015,18681.9,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2016,20118.5,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2017,22302.9,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2018,24664.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2019,26777.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2020,27904.3,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2021,31356.8,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2022,35946.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2023,41375.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bulgaria,2024,47647.3,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,1995,151620.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,1996,149834.7,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,1997,144604.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,1998,149148.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,1999,154172.3,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,2000,164749.7,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,2001,179572.3,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,2002,190186.5,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,2003,184057.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,2004,183007.7,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,2005,188036.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,2006,192274.8,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,2007,194138.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,2008,210769.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,2009,226687.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Switzerland,2010,250129.9,,
